first_name,last_name,middle_name,nickname,dob,age,address,zipcode,phone,email,property_ownership,occupation,employer,job_title,salary,education,highest_degree,retirement_savings,favorite_food,allergies,catchphrase,defining_features,skills,marital_status,spouse,children,parents,siblings,pets,friends,group_affiliation
Abraham,Simpson,J,Grampa,1907-05-18,98,Springfield Retirement Castle,90701,N/A,N/A,None,Retired,Varies,Former WWI Veteran,"$12,000",Drop-out,N/A,$0,Gruel,Youth,That's the way it was in my day!,Missing Teeth,"Storytelling, Complaining",Widower,Mona Simpson,2,N/A / N/A,N/A,N/A,Jasper Beardley,Retirement Home Residents
Allison,Taylor,M,Allison,1982-06-15,8,612 Academic Row,90701,555-0113,ataylor@gifted.edu,Lives with Parents,Student,Springfield Elementary School,2nd Grade Student,$0,Elementary Student,N/A,$0,Organic Yogurt,Noise,I find this intellectually stimulating.,"Brown Hair, Pink Dress","Saxophone, Advanced Physics",Single,N/A,0,N/A / N/A,N/A,N/A,Lisa Simpson,Mensa
Apu,Nahasapeemapetilon,N/A,Apu,1960-08-05,36,Above the Kwik-E-Mart,90701,555-0104,apu@kwike.mart,Owns,Convenience Store Proprietor,Kwik-E-Mart,Manager,"$60,000",Ph.D.,Computer Science,"$200,000",Squishees,Meat,"Thank you, come again!",Indian Accent,"Quick Math, Management",Married,Manjula Nahasapeemapetilon,8,N/A,Sanjay Nahasapeemapetilon,N/A,Homer Simpson,N/A
Arnie,Pye,N/A,Arnie Pye,1955-03-22,50,Helicopter,90701,555-0135,arnie@https://www.google.com/search?q=skyreport.com,None,Helicopter Reporter,Channel 6 News,Airborne Reporter,"$75,000",College Graduate,Journalism,"$100,000",Airline Peanuts,N/A,Arnie Pye in the sky!,Pilot's Helmet,Reporting while Flying,Single,N/A,0,N/A / N/A,N/A,N/A,N/A,Media Guild
Ashley,Shine,N/A,Ashley,1980-09-09,25,155 New Worker Ct,90701,555-0138,ashley@springfield.net,Rents,Waitress,Varies,Waitress,"$22,000",High School Diploma,N/A,"$5,000",Vegetarian Food,N/A,N/A,Simple Attire,Art,Single,N/A,0,N/A / N/A,N/A,N/A,Lisa Simpson (Friend),N/A
Barney,Gumble,N/A,Barney,1958-03-20,47,"Varies (Apartment, Alley)",90701,555-0120,barney@https://www.google.com/search?q=drunkmail.com,None,Unemployed (Occasional Jobs),Varies,Customer/Patron,$500,High School Diploma,N/A,$50,Beer,Sobriety,Loud Belch,"Stubble, Slurred Speech","Opera Singing, Filmmaking (Sober)",Single,N/A,0,Arnie Gumble / N/A,N/A,N/A,"Homer Simpson, Moe Szyslak",Barflies
Bartholomew,Simpson,JoJo,Bart,1980-04-01,10,742 Evergreen Terrace,90701,555-0101,elbarto@springfieldelem.edu,Lives with Parents,Student,Springfield Elementary School,4th Grade Student,$0,Elementary Student,N/A,$0,Squishees,None,Ay Caramba!,Spiky Hair,"Skateboarding, Pranks",Single,N/A,0,Homer Simpson/Marjorie Simpson,"Lisa Simpson, Maggie Simpson",Santa's Little Helper (Dog),Milhouse Van Houten,School Bullies
Bernice,Hibbert,N/A,Bernice,1961-07-25,44,1200 Health Way,90701,555-0123,bhibbert@springfieldmed.org,Owns,Homemaker/Socialite,N/A,N/A,"$10,000",College Graduate,Social Work,"$500,000",Champagne,N/A,N/A,"Well-dressed, always smiling","Socializing, Hosting Parties",Married,Julius Hibbert,3,N/A / N/A,N/A,N/A,Helen Lovejoy,Socialites
Carl,Carlson,J,Carl,1961-02-04,44,1801 Iceberg Way,90701,555-0115,carl@powerplant.com,Rents,Nuclear Technician,Springfield Nuclear Power Plant,Technical Supervisor,"$52,000",Master's Degree,Physics,"$100,000","Beer, Donuts",N/A,He's got a point.,"Dark Hair, African American","Physics Knowledge, Leadership",Single,N/A,0,N/A / N/A,N/A,N/A,"Homer Simpson, Lenny Leonard, Barney Gumble",Stonecutters
Charles,Montgomery,Burns,Mr. Burns,1888-09-15,104,Burns Manor,90701,N/A,N/A,Owns,Power Plant Owner,Springfield Nuclear Power Plant,CEO/Owner,"$1,000,000,000+",Yale University,Science/Business,"$3,000,000,000",Synthetic Nutrients,Sunlight,Excellent!,Aged Appearance,"Extreme Wealth, Evil Planning",Single,N/A,N/A,N/A,N/A,N/A,Smithers (Employee),Billionaire's Club
Clancy,Wiggum,N/A,Chief Wiggum,1962-02-14,45,Wiggum Residence,90701,555-0105,chief@springfieldpolice.gov,Rents,Police Chief,Springfield Police Department,Chief,"$65,000",High School Diploma,N/A,"$5,000",Donuts,High-Fiber Food,"Nothing to see here, folks!",Blue Police Uniform,Shooting (Occasionally),Married,Sarah Wiggum,1,N/A,N/A,N/A,"Eddie, Lou (Officers)",Police Union
Database,N/A,N/A,Database,1980-11-12,10,1201 Binary Ave,90701,555-0112,database@hacker.net,Lives with Parents,Student,Springfield Elementary School,4th Grade Student,$0,Elementary Student,N/A,$0,Microchips,Sunlight,Affirmative.,"Large Glasses, Formal Attire","Computer Programming, Data Analysis",Single,N/A,0,N/A / N/A,N/A,N/A,Martin Prince,Computer Club
Dolph,Starbeam,H,Dolph,1979-01-15,13,234 Skid Row,90701,555-0117,dolph@bullymail.net,Lives with Parents,Student/Bully,Springfield High School,8th Grade Student,$0,Middle School Student,N/A,$0,Stolen Lunch Money,Formal Clothing,"Later, man.","Asymmetric Hair, Cut-off Shorts","Vandalism, Minor Theft",Single,N/A,0,N/A / N/A,N/A,N/A,"Jimbo Jones, Nelson Muntz, Kearney Zzyzwicz",School Bullies
Eddie,N/A,N/A,Eddie,1969-04-03,36,Police Barracks,90701,555-0131,eddie@springfieldpolice.gov,Rents,Police Officer,Springfield Police Department,Patrolman,"$40,000",High School Diploma,N/A,"$70,000",Donuts,N/A,"Okay, Chief.","Moustache, Uniform",Following Orders,Single,N/A,0,N/A / N/A,N/A,N/A,"Lou, Chief Wiggum",Police Union
Edna,Krabappel,N/A,Edna,1950-10-10,50,Krabappel Apartment,90701,555-0108,edna@springfieldelem.edu,Rents,Teacher,Springfield Elementary School,4th Grade Teacher,"$40,000",Master's Degree,Education,"$15,000",Wine,N/A,Ha!,"Brown Hair, Teacher's Glasses",Teaching/Smoking,Married,Ned Flanders,0,N/A,N/A,N/A,N/A,Teacher's Union
Eleanor,Albright,N/A,Miss Albright,1968-07-10,37,812 Teacher Apts,90701,555-0137,albright@selem.edu,Rents,Guidance Counselor,Springfield Elementary School,Counselor,"$45,000",Master's Degree,Psychology,"$40,000",Decaf Coffee,Underachievement,N/A,Sensible Clothes,Teen Mediation,Single,N/A,0,N/A / N/A,N/A,N/A,N/A,School Staff
Elizabeth,Hoover,N/A,Miss Hoover,1959-12-12,46,812 Teacher Apts,90701,555-0125,hoover@springfieldelem.edu,Rents,Teacher,Springfield Elementary School,2nd Grade Teacher,"$42,000",Master's Degree,Education,"$20,000","Cigarettes, Coffee",Stress,"Right, whatever.","Glasses, Shoulder-length hair","Burnout, Cynicism",Single,N/A,0,N/A / N/A,N/A,N/A,N/A,Teacher's Union
